title,genres,overview
Maestro,Biography/Musical,The life of Leonard Bernstein.
May December,Drama,A couple deals with their past.
Saltburn,Thriller/Drama,A student is invited to a wealthy estate.
The Killer,Action/Thriller,An assassin goes on a mission.
Napoleon,Biography/History,The life of Napoleon Bonaparte.
Ferrari,Biography/Drama,The life of Enzo Ferrari.
The Creator,Sci-Fi/Action,A man fights against AI.
Godzilla Minus One,Action/Sci-Fi,Godzilla attacks Japan after WWII.
Spider-Man: Across the Spider-Verse,Animation/Action,Miles travels through the multiverse.
The Super Mario Bros. Movie,Animation/Adventure,Mario and Luigi save the Mushroom Kingdom.
Elemental,Animation/Comedy,Fire and water fall in love.
Puss in Boots: The Last Wish,Animation/Adventure,Puss searches for the wishing star.
The Bad Guys,Animation/Comedy,Villains try to become heroes.
Encanto,Animation/Fantasy,A girl has no powers in a magical family.
Luca,Animation/Adventure,A sea monster becomes human.
Turning Red,Animation/Comedy,A girl turns into a red panda.
The Sea Beast,Animation/Adventure,A girl hitches a ride on a monster hunter's ship.
Nimona,Animation/Adventure,A knight is framed for a crime.
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation/Action,The turtles fight a mutant army.
Klaus,Animation/Adventure,A postman befriends a toymaker.
Wolfwalkers,Animation/Adventure,A girl meets a wolf spirit.
The Mitchells vs. the Machines,Animation/Sci-Fi,A family fights a robot apocalypse.
Soul,Animation/Fantasy,A musician finds his soul in the afterlife.
Onward,Animation/Fantasy,Two brothers go on a quest to see their dad.
Frozen,Animation/Fantasy,A girl searches for her sister.
Frozen II,Animation/Fantasy,Elsa searches for the source of her powers.
Moana,Animation/Adventure,A girl sails to save her island.
Tangled,Animation/Adventure,Rapunzel leaves her tower.
Brave,Animation/Adventure,A princess must fix a curse.
Wreck-It Ralph,Animation/Comedy,A video game villain wants to be a hero.
Big Hero 6,Animation/Action,A boy and his robot save the city.
Zootopia,Animation/Comedy,A rabbit cop solves a crime.
Kung Fu Panda,Animation/Action,A panda becomes a kung fu master.
How to Train Your Dragon,Animation/Adventure,A boy befriends a dragon.
Shrek,Animation/Comedy,An ogre rescues a princess.
Despicable Me,Animation/Comedy,A villain tries to steal the moon.
Minions,Animation/Comedy,Minions search for a new master.
Ice Age,Animation/Adventure,Animals return a human baby.
Madagascar,Animation/Comedy,Zoo animals get stranded on an island.
The Lego Movie,Animation/Comedy,An ordinary Lego guy saves the world.
Spider-Man: No Way Home,Action/Sci-Fi,Spider-Man deals with the multiverse.
Doctor Strange,Sci-Fi/Fantasy,A surgeon learns magic.
Guardians of the Galaxy,Sci-Fi/Action,Misfits team up to save the galaxy.
Thor: Ragnarok,Action/Sci-Fi,Thor must escape a gladiator world.
Captain America: The Winter Soldier,Action/Thriller,Cap fights a secret enemy.
Wonder Woman,Action/Adventure,A princess helps fight in WWI.
The Batman,Action/Crime,Batman hunts a serial killer.
Aquaman,Action/Adventure,A man must claim his throne underwater.
Shazam!,Action/Comedy,A boy gains magical powers.
Deadpool & Wolverine,Action/Comedy,The two heroes team up in the MCU.
Inside Out 2,Animation/Family,Riley faces new emotions as a teen.
Kingdom of the Planet of the Apes,Sci-Fi/Action,Apes and humans fight for the future.
A Quiet Place: Day One,Horror/Sci-Fi,The day the monsters arrived in NYC.
Furiosa: A Mad Max Saga,Action/Adventure,The origin story of Furiosa.
The Fall Guy,Action/Comedy,A stuntman finds a missing star.
Twisters,Action/Adventure,Storm chasers face massive tornadoes.
Borderlands,Sci-Fi/Action,A team searches for treasure on Pandora.
Alien: Romulus,Sci-Fi/Horror,Young people face the Xenomorph.
Beetlejuice Beetlejuice,Comedy/Fantasy,The ghost with the most returns.
Gladiator II,Action/Drama,Lucius returns to the arena.
Moana 2,Animation/Adventure,Moana goes on a new voyage.
Sonic the Hedgehog 3,Animation/Action,Sonic faces Shadow the Hedgehog.
Mufasa: The Lion King,Animation/Adventure,The origin story of Mufasa.
Despicable Me 4,Animation/Comedy,Gru faces a new villain.
Kung Fu Panda 4,Animation/Action,Po becomes a spiritual leader.
Garfield,Animation/Comedy,The cat goes on an outdoor adventure.
Lilo & Stitch,Animation/Family,A girl adopts a blue alien.
The Iron Giant,Animation/Sci-Fi,A boy befriends a giant robot.
Batman: Mask of the Phantasm,Animation/Action,Batman is framed for murder.
Anastasia,Animation/Adventure,A girl searches for her family.
The Prince of Egypt,Animation/Drama,The story of Moses.
Road to El Dorado,Animation/Adventure,Two con men find a city of gold.
Titan A.E.,Animation/Sci-Fi,Humans search for a new home in space.
The Last Unicorn,Animation/Fantasy,A unicorn searches for others of her kind.
Watership Down,Animation/Adventure,Rabbits search for a new home.
Secret of NIMH,Animation/Adventure,A mouse asks for help from rats.
Charlotte's Web,Animation/Family,A spider saves a pig.
The Land Before Time,Animation/Adventure,Dinosaurs search for the Great Valley.
An American Tail,Animation/Adventure,A mouse searches for his family in NY.
All Dogs Go to Heaven,Animation/Adventure,A dog returns from heaven for revenge.
FernGully,Animation/Adventure,Fairies save their forest.
Quest for Camelot,Animation/Adventure,A girl searches for Excalibur.
The Swan Princess,Animation/Fantasy,A girl is turned into a swan.
Thumbelina,Animation/Fantasy,A tiny girl searches for a home.
Balto,Animation/Adventure,A dog saves a town from disease.
Spirit: Stallion of the Cimarron,Animation/Adventure,A wild horse travels the frontier.
Brother Bear,Animation/Adventure,A man is turned into a bear.
Treasure Planet,Animation/Sci-Fi,A boy searches for treasure in space.
Atlantis: The Lost Empire,Animation/Adventure,A team searches for Atlantis.
The Emperor's New Groove,Animation/Comedy,An emperor is turned into a llama.
Hercules,Animation/Fantasy,A man proves he is a hero.
Mulan,Animation/Adventure,A girl joins the army in disguise.
Pocahontas,Animation/Romance,A girl meets an English settler.
The Hunchback of Notre Dame,Animation/Drama,A man protects a girl in Paris.
Tarzan,Animation/Adventure,A man raised by apes meets humans.
Peter Pan,Animation/Adventure,A boy who won't grow up.
Alice in Wonderland,Animation/Fantasy,A girl enters a world of nonsense.
Cinderella,Animation/Fantasy,A girl goes to a royal ball.
Sleeping Beauty,Animation/Fantasy,A princess is put into a deep sleep.
Snow White,Animation/Fantasy,A princess lives with seven dwarfs.
Pinocchio,Animation/Fantasy,A wooden boy wants to be real.
Bambi,Animation/Drama,A deer grows up in the forest.
Dumbo,Animation/Family,An elephant learns to fly.
The Jungle Book,Animation/Adventure,A boy raised by wolves.
Robin Hood,Animation/Adventure,A fox steals from the rich.
The Aristocats,Animation/Comedy,Cats try to return home.
One Hundred and One Dalmatians,Animation/Adventure,Dogs save their puppies.
Lady and the Tramp,Animation/Romance,Two dogs fall in love.
The Fox and the Hound,Animation/Drama,Two friends become enemies.
The Rescuers,Animation/Adventure,Mice save a kidnapped girl.
The Great Mouse Detective,Animation/Mystery,A mouse solves a crime.
Oliver & Company,Animation/Comedy,A kitten joins a gang of dogs.
The Little Mermaid,Animation/Fantasy,A mermaid wants to be human.
Beauty and the Beast,Animation/Fantasy,A girl falls for a beast.
Aladdin,Animation/Fantasy,A boy finds a magical lamp.
Kantara,Action/Fantasy,A conflict between humans and nature.
777 Charlie,Adventure/Drama,A man travels with a dog.
Sita Ramam,Romance/Drama,A soldier finds love through letters.
RRR,Action/Drama,Two revolutionaries fight the British.
Pushpa 2,Action/Drama,The continuation of Pushpa's rise.
Kalki 2898 AD,Sci-Fi/Action,A modern avatar of Vishnu arrives.
Devara,Action/Drama,A story set in the forgotten lands.
Game Changer,Action/Drama,An officer fights for political change.
Indian 2,Action/Thriller,Senapathy returns to fight corruption.
Vettaiyan,Action/Drama,A cop chases justice in a complex case.
Coolie,Action/Thriller,A laborer gets involved in a dark plot.
Toxic,Action/Thriller,A fairy tale for grown-ups in the underworld.
Thug Life,Action/Drama,A story of survival and power.
Dragon,Action/Fantasy,A man discovers he has fiery powers.
Spirit,Action/Drama,A cop deals with his inner demons.
War 2,Action/Thriller,Two spies face off in a global mission.
Pathaan,Action/Thriller,A spy returns to save India.
Tiger 3,Action/Thriller,Tiger and Zoya go on a final mission.
Jawan,Action/Thriller,A man seeks justice for his past.
Dunki,Comedy/Drama,Friends try to reach London illegally.
Animal,Action/Crime,A son's violent obsession for his father.
Salaar,Action/Drama,Two friends become enemies in a city.
Léo,Action/Thriller,A man tries to escape his past.
Captain Miller,Action/Drama,A rebel fights during the British Raj.
Kanguva,Action/Fantasy,A story across two different eras.
Amar Singh Chamkila,Biography/Musical,The life of the Punjabi singer.
Merry Christmas,Thriller/Mystery,Two strangers meet on Christmas Eve.
Maidaan,Sports/Biography,The golden era of Indian football.
Chandu Champion,Sports/Biography,The life of Murlikant Petkar.
Stree 2,Horror/Comedy,The return of the mysterious woman.
Bhool Bhulaiyaa 3,Horror/Comedy,Rooh Baba faces a new ghost.
Baby John,Action/Thriller,A man protects his family from a gang.
Singham Again,Action/Drama,The police force fights a massive threat.
Sky Force,War/Action,The story of India's first air strike.
Raid 2,Crime/Drama,Amay Patnaik returns for a new raid.
The Sabarmati Report,Thriller/Drama,Based on true events in Gujarat.
Love Sex Aur Dhokha 2,Drama/Anthology,Stories of love in the digital age.
Crew,Comedy/Drama,Flight attendants get into a mess.
Bade Miyan Chote Miyan,Action/Comedy,Two soldiers save the world.
Srikanth,Biography/Drama,The life of Srikanth Bolla.
Munjya,Horror/Comedy,A ghost haunts a young man.
Kill,Action/Thriller,A soldier fights off bandits on a train.
Ulajh,Spy/Thriller,A diplomat gets caught in a conspiracy.
Vedaa,Action/Drama,A girl fights against injustice.
Khel Khel Mein,Comedy/Drama,Friends play a dangerous game with phones.
Emergency,Historical/Drama,The life of Indira Gandhi during 1975.
Metro In Dino,Drama/Romance,Stories of people living in the city.
Chaava,Historical/Drama,The story of Chhatrapati Sambhaji Maharaj.
Alpha,Action/Thriller,A spy from the YRF universe.
Jigra,Action/Drama,A sister goes to save her brother.
The Greatest of All Time,Action/Thriller,An agent faces his past self.
Vishwambhara,Fantasy/Action,A man travels to a mystical world.
Saripodhaa Sanivaaram,Action/Thriller,A man who only gets angry on Saturdays.
Devara: Part 1,Action/Drama,A legend from the coastal lands.
Thandel,Action/Drama,A fisherman gets caught in a conflict.
OG,Action/Thriller,A gangster returns to reclaim power.
The Legend of Maula Jatt,Action/Drama,The rivalry between Maula and Noori.
Laapataa Ladies,Comedy/Drama,Two brides get lost on a train.
Shaitaan,Horror/Thriller,A man tries to save his family from a sorcerer.
Madgaon Express,Comedy/Adventure,Friends go on a trip to Goa.
Do Patti,Mystery/Thriller,A story of twins and a secret.
Sector 36,Crime/Thriller,A cop hunts a serial killer in Delhi.
The Buckingham Murders,Mystery/Crime,A detective investigates a murder in London.
CTRL,Sci-Fi/Thriller,A girl uses AI to take revenge on her ex.
